user_id,items,created_at,updated_at
77,"[29612, 47537, 52681, 90352, 26811]",2024-02-08 12:29:14,2024-03-05 10:18:17
248,"[22407, 36401, 61157, 24924, 19168]",2022-12-15 19:12:34,2024-10-16 23:18:56
409,"[44942, 8443, 62882, 37382, 47646]",2023-07-29 18:31:59,2023-08-08 18:45:21
510,"[14026, 34400, 81825, 30846, 46395]",2023-03-18 20:25:30,2023-11-09 06:23:38
551,"[16236, 35052, 23447, 42952, 27651]",2022-12-10 13:16:35,2023-01-06 14:38:26
625,"[27525, 10373, 58944, 98030, 64694]",2024-05-27 17:59:54,2024-06-05 20:32:01
806,"[97580, 72398, 92898, 93472, 84172]",2022-11-23 04:08:58,2024-05-26 07:31:58
962,"[67320, 84508, 49474, 92208, 64453]",2023-01-20 13:57:04,2023-09-09 20:06:13
1000,"[69590, 18299, 31950, 148, 52764]",2024-09-12 08:50:00,2024-09-12 19:30:14
1104,"[14490, 17634, 37495, 5843, 7509]",2024-09-19 14:25:39,2024-10-27 06:11:43
1141,"[91463, 28933, 78673, 38559, 62441]",2023-09-24 08:18:05,2024-05-18 14:12:40
1153,"[55493, 37549, 32427, 61017, 72983]",2023-12-27 07:01:28,2024-07-10 18:09:26
1215,"[94530, 69592, 54983, 17531, 68215]",2024-03-06 07:18:34,2024-08-20 10:13:16
1430,"[3732, 41762, 2174, 32591, 85899]",2022-12-02 04:23:31,2023-07-15 15:06:51
1439,"[71402, 4352, 51191, 46717, 75758]",2023-11-22 14:45:40,2024-01-20 01:25:17
1485,"[58054, 4034, 20737, 2425, 24252]",2023-05-05 08:31:10,2024-05-07 03:33:45
1498,"[96505, 58922, 81243, 63407, 94849]",2024-04-03 15:29:18,2024-05-16 21:31:44
1552,"[68224, 48293, 92080, 73250, 80537]",2023-02-08 15:03:16,2023-07-28 07:19:21
1628,"[90149, 54638, 4749, 87256, 44487]",2024-08-29 14:22:27,2024-11-12 09:08:48
1713,"[4011, 54114, 64201, 42620, 81415]",2024-01-11 19:45:15,2024-11-06 05:19:05
1828,"[81448, 84695, 37432, 26713, 82807]",2023-09-07 02:48:05,2024-05-20 22:18:07
2225,"[65202, 56636, 68603, 68827, 86059]",2024-04-30 23:45:21,2024-07-25 03:40:32
2242,"[88070, 22907, 65112, 26749, 6237]",2023-01-05 01:38:10,2024-06-14 21:32:13
2420,"[96505, 66215, 74369, 5813, 72398]",2024-01-25 10:02:45,2024-10-23 21:14:32
2753,"[25082, 34030, 90653, 55633, 4591]",2024-06-20 02:05:40,2024-08-24 11:58:47
2947,"[36093, 13835, 12373, 70761, 78905]",2024-02-04 20:59:02,2024-03-05 06:34:52
3007,"[31950, 47942, 6962, 28446, 66876]",2024-09-07 23:04:04,2024-09-14 18:14:47
3337,"[42597, 5268, 38359, 71402, 47646]",2024-01-27 01:50:00,2024-05-17 03:23:30
3582,"[49262, 30089, 70761, 5934, 31076]",2024-02-14 15:20:36,2024-07-02 11:48:39
3711,"[21740, 39538, 96122, 67065, 9961]",2024-01-24 06:54:04,2024-09-29 04:03:28
3753,"[78500, 82944, 3047, 9554, 61660]",2024-01-23 02:17:51,2024-04-10 21:48:47
3858,"[87779, 50229, 77687, 65602, 9048]",2023-04-30 03:38:18,2024-03-20 16:09:23
3954,"[71292, 67320, 49778, 73250, 27171]",2023-12-17 05:03:32,2024-08-09 04:36:05
4047,"[70325, 740, 38693, 47537, 4178]",2024-03-11 02:21:05,2024-06-25 10:23:57
4065,"[16565, 41688, 87735, 61805, 72449]",2024-07-10 05:45:27,2024-10-04 13:58:30
4234,"[47378, 46395, 292, 21727, 52080]",2024-04-22 00:45:44,2024-05-28 16:34:01
4305,"[97188, 22753, 35635, 27565, 65322]",2023-04-05 02:46:01,2023-12-28 01:31:21
4341,"[28933, 63231, 89215, 61097, 21857]",2024-07-20 16:55:49,2024-08-22 11:12:03
4418,"[72755, 55903, 30846, 53022, 64018]",2024-07-05 03:52:38,2024-11-13 22:40:57
4438,"[28164, 98999, 47578, 73250, 92208]",2023-09-28 16:37:57,2024-08-09 12:32:39
4484,"[13741, 66563, 33139, 30973, 63993]",2023-12-26 23:59:20,2024-09-10 08:34:33
4496,"[53612, 13741, 61805, 34653, 58592]",2024-11-11 23:50:37,2024-11-15 15:05:34
4605,"[84532, 9463, 82092, 46233, 12345]",2024-01-07 14:53:32,2024-09-14 05:55:37
4615,"[97862, 97188, 5268, 35441, 69623]",2024-06-23 05:30:24,2024-08-11 04:59:12
4689,"[16382, 36337, 3543, 96404, 85364]",2024-05-05 04:12:15,2024-08-28 04:48:40
4772,"[3047, 71567, 62785, 5639, 39538]",2024-02-14 16:57:25,2024-08-23 06:04:00
4780,"[75964, 91397, 63231, 33872, 87645]",2024-06-08 09:55:24,2024-07-14 02:54:24
