user_id,song_id,created_at,updated_at
64043,61136,2025-01-08T15:59:27.543106,2025-04-23T23:34:15.627492
64043,97724,2025-01-08T15:59:27.543106,2025-04-23T23:34:15.627492
64043,34669,2025-01-08T15:59:27.543106,2025-04-23T23:34:15.627492
64043,46069,2025-01-08T15:59:27.543106,2025-04-23T23:34:15.627492
64043,81458,2025-01-08T15:59:27.543106,2025-04-23T23:34:15.627492
41377,90710,2024-02-11T20:46:01.850596,2024-11-17T12:06:58.081958
41377,33810,2024-02-11T20:46:01.850596,2024-11-17T12:06:58.081958
41377,91131,2024-02-11T20:46:01.850596,2024-11-17T12:06:58.081958
41377,59386,2024-02-11T20:46:01.850596,2024-11-17T12:06:58.081958
41377,76857,2024-02-11T20:46:01.850596,2024-11-17T12:06:58.081958
5828,60487,2024-04-24T06:14:49.727597,2025-01-13T04:22:36.171670
5828,59910,2024-04-24T06:14:49.727597,2025-01-13T04:22:36.171670
5828,62866,2024-04-24T06:14:49.727597,2025-01-13T04:22:36.171670
5828,94049,2024-04-24T06:14:49.727597,2025-01-13T04:22:36.171670
5828,6212,2024-04-24T06:14:49.727597,2025-01-13T04:22:36.171670
14040,95707,2024-09-18T06:44:20.713159,2025-07-05T18:52:16.413879
14040,80897,2024-09-18T06:44:20.713159,2025-07-05T18:52:16.413879
14040,69526,2024-09-18T06:44:20.713159,2025-07-05T18:52:16.413879
14040,10607,2024-09-18T06:44:20.713159,2025-07-05T18:52:16.413879
14040,22108,2024-09-18T06:44:20.713159,2025-07-05T18:52:16.413879
49245,75361,2025-04-05T19:42:23.935449,2025-08-21T11:26:18.200443
49245,79805,2025-04-05T19:42:23.935449,2025-08-21T11:26:18.200443
49245,17577,2025-04-05T19:42:23.935449,2025-08-21T11:26:18.200443
49245,60729,2025-04-05T19:42:23.935449,2025-08-21T11:26:18.200443
49245,97023,2025-04-05T19:42:23.935449,2025-08-21T11:26:18.200443
63123,93539,2024-05-21T03:51:17.801963,2024-12-22T21:33:16.631680
63123,88739,2024-05-21T03:51:17.801963,2024-12-22T21:33:16.631680
63123,20732,2024-05-21T03:51:17.801963,2024-12-22T21:33:16.631680
63123,6498,2024-05-21T03:51:17.801963,2024-12-22T21:33:16.631680
63123,96316,2024-05-21T03:51:17.801963,2024-12-22T21:33:16.631680
37204,10429,2024-09-05T02:04:40.492284,2025-06-12T09:12:40.388628
37204,55605,2024-09-05T02:04:40.492284,2025-06-12T09:12:40.388628
37204,50403,2024-09-05T02:04:40.492284,2025-06-12T09:12:40.388628
37204,56767,2024-09-05T02:04:40.492284,2025-06-12T09:12:40.388628
37204,69526,2024-09-05T02:04:40.492284,2025-06-12T09:12:40.388628
2800,77099,2025-03-01T17:05:44.972344,2025-06-13T20:56:03.126832
2800,5762,2025-03-01T17:05:44.972344,2025-06-13T20:56:03.126832
2800,56359,2025-03-01T17:05:44.972344,2025-06-13T20:56:03.126832
2800,25383,2025-03-01T17:05:44.972344,2025-06-13T20:56:03.126832
2800,25782,2025-03-01T17:05:44.972344,2025-06-13T20:56:03.126832
15984,64585,2025-06-09T01:23:18.627275,2025-06-25T13:15:59.915987
