user_id,tracks_id,created_at,updated_at
85551,92765|56887|4724|12016|51780,2023-02-13T11:17:18.244547,2024-11-07T19:43:52.059240
27357,36922|34100|73528|20292|20944,2024-03-19T05:46:35.546956,2024-03-29T03:46:08.122497
17477,50895|97471|94263|44916|87930,2024-01-31T05:56:15.388581,2024-10-17T05:15:17.088809
84982,37895|99803|33014|62805|57694,2024-10-24T02:35:41.675241,2024-12-04T19:46:45.530784
22951,11073|67485|92182|42948|3200,2023-11-03T00:47:36.817436,2024-04-27T19:52:53.811063
42890,90719|68120|95324|45825|23194,2023-04-21T17:15:21.819440,2023-07-19T03:37:55.052507
6846,51694|4362|7208|75567|24229,2024-04-17T04:40:37.990775,2024-07-31T13:48:18.980793
50382,15785|21081|15190|33082|49334,2024-03-20T18:56:51.160102,2024-10-25T18:28:27.574347
52536,77158|35349|7387|61897|79011,2023-11-03T19:23:38.896207,2024-11-18T09:14:51.559088
30435,12298|53718|31678|69946|28914,2023-07-09T08:01:25.050843,2024-10-29T02:17:30.632131
87341,93951|40326|95234|75410|29962,2024-09-14T17:30:03.271018,2024-12-02T00:15:32.521981
3198,82180|98185|83108|49245|24606,2023-02-24T17:41:42.909115,2023-06-28T23:33:14.164281
81919,32646|26102|60254|20692|29465,2024-11-25T11:02:10.329152,2024-12-23T17:59:36.444921
78070,21081|91123|87930|44131|47557,2023-09-15T20:16:14.751104,2023-11-05T21:22:39.528440
87700,16208|66643|93175|94213|12306,2024-10-11T02:57:56.881550,2024-12-10T21:17:52.335736
1555,40910|92017|59667|47510|98702,2025-01-18T14:25:00.506742,2025-01-21T19:44:54.314843
4693,4362|3164|33505|3085|37404,2024-05-11T13:14:12.237998,2024-05-19T16:42:14.274298
90670,17719|40948|16739|51997|93111,2024-02-24T13:57:52.415673,2025-01-11T05:31:17.140174
986,28810|31117|3475|24606|36304,2023-10-07T19:23:37.925814,2024-02-12T17:22:10.086981
58367,4439|89589|38802|63907|3930,2024-07-07T14:00:05.093717,2024-09-26T09:50:12.535604
14711,18321|6153|35314|89971|84717,2023-09-29T11:45:25.028583,2024-08-28T10:58:24.165099
154,51935|17054|98407|60254|17828,2024-06-20T16:56:06.247512,2024-07-14T13:55:13.791021
5298,7973|3533|54791|61426|27948,2024-06-13T06:53:18.136936,2024-12-24T12:11:26.399002
94650,71876|81879|55472|46705|91681,2023-02-22T04:25:15.342560,2024-09-12T21:45:39.088233
14825,33441|62967|2216|25108|75410,2024-12-26T18:32:48.759585,2024-12-31T17:05:42.638849
90020,53829|29894|89589|2216|93311,2023-12-24T22:11:47.942380,2024-10-26T00:24:29.973097
74669,24961|28401|76948|3897|48949,2024-02-23T14:55:39.475639,2024-07-04T12:03:13.863967
72408,67674|74321|47557|66122|68399,2024-08-26T04:51:55.343649,2024-09-24T06:30:11.305825
53300,98702|21486|88053|60088|19120,2023-10-08T06:40:11.154329,2024-01-20T20:14:51.051481
26130,86230|36623|54585|30614|55231,2024-10-28T18:30:31.107520,2025-01-05T10:01:22.248772
35519,3339|9122|11419|27636|32907,2023-02-19T19:04:55.274916,2024-04-12T01:23:52.253785
8008,98008|6522|21081|55009|96205,2023-07-22T19:12:22.844003,2024-11-01T09:22:43.537174
13544,23256|93756|67485|98284|5603,2024-10-01T04:51:53.331039,2024-11-12T17:53:46.040313
20648,3930|6877|28896|44194|82380,2023-10-20T14:07:37.398498,2024-02-06T06:17:13.563678
71283,39391|59198|15300|46135|38156,2024-01-07T01:17:16.814355,2024-09-24T21:54:00.402984
90890,99669|26182|67012|65558|74321,2024-09-07T12:50:13.392125,2024-10-30T05:21:26.199619
3366,27434|14179|36972|68188|21575,2024-06-25T03:41:18.778791,2025-01-25T21:50:51.027172
66996,29112|32513|37380|23428|38847,2024-04-01T05:00:04.635131,2024-06-19T13:12:12.505147
66060,64103|65375|4251|40479|6522,2024-01-17T08:54:35.187562,2024-05-03T16:43:30.937671
17515,93551|95158|21212|26339|9297,2023-01-30T04:04:20.383064,2024-09-14T18:14:07.596798
52098,88698|1131|20394|35535|87527,2023-07-18T01:40:29.068151,2024-11-16T07:14:56.476863
54292,2352|63545|12144|48801|49891,2023-11-07T14:54:47.703044,2024-08-12T02:30:30.945645
70836,89971|12016|74205|4468|95038,2023-03-19T07:52:46.492173,2024-08-15T03:59:18.885820
37581,38156|45926|32285|3649|40065,2024-03-22T22:35:52.106061,2024-07-17T05:35:32.476852
97350,85986|6787|63330|72533|64422,2023-02-17T12:29:04.486781,2023-11-26T01:46:59.982965
29852,50372|80103|81573|15213|33441,2025-01-13T03:36:22.406126,2025-01-24T08:25:59.626518
62822,21940|71318|6969|57581|32646,2023-02-16T20:50:00.413026,2023-08-07T02:49:37.381553
36900,2812|78641|12246|37766|69436,2023-05-16T23:17:18.007941,2023-10-01T07:00:07.169651
