track_id,name,artist,songwriters,duration,genres,album,created_at,updated_at
83983,half,Mindy White,Ann Burton,41,able,high,2024-07-26T01:16:44.539226,2024-10-03T18:42:20.997802
50419,so,Michael Hunter,Patricia Pittman,543,cup,need,2023-04-30T01:59:12.570501,2024-03-20T04:41:59.590955
8210,increase,Seth Foster,Cynthia Vance,632,peace,off,2023-06-19T20:22:44.479886,2024-06-26T22:19:32.936278
49439,make,Heather Frank,Gary Blake,3056,occur,lawyer,2025-01-01T23:39:22.220383,2024-12-03T10:19:06.600840
10420,occur,David Evans,Sarah Garcia,1253,item,direction,2025-01-28T14:55:29.759781,2024-07-25T14:44:46.572134
5966,often,Cindy Schroeder,Robert Myers,2842,blood,better,2023-02-14T07:03:48.378718,2024-05-25T08:36:34.273578
35166,environment,Lauren Moore,Erica Guzman,2673,where,series,2023-07-07T12:16:41.251401,2024-06-09T03:41:15.342178
83601,never,Randall Hopkins,Michael Gonzales,2816,myself,today,2023-05-19T15:07:42.162039,2024-09-19T22:17:37.682108
43311,wonder,Melissa Taylor,Grace Dillon,1018,response,natural,2023-06-20T22:01:26.977549,2024-08-09T15:15:36.844491
32627,successful,Nicholas Wang,Donna Williams,2336,woman,compare,2023-02-05T01:48:24.982809,2025-01-21T21:38:59.319870
11915,everybody,Katherine Gonzalez,Carrie Grant,3459,us,figure,2024-04-05T22:42:46.307183,2024-03-05T09:02:03.909890
75485,party,Melinda Gamble,Shirley Johnson,3001,commercial,improve,2023-02-25T21:31:09.284108,2024-08-30T07:02:04.774305
8343,answer,Thomas Smith,Michael Hanson,972,cause,pick,2024-11-23T04:09:36.347455,2025-01-09T20:02:13.112784
95264,alone,Christopher Phillips,Crystal James,2931,election,happen,2023-06-01T16:02:17.284279,2024-07-31T05:12:58.302825
65341,while,Kenneth Oneill,Michelle Ward,3396,lay,my,2024-08-18T13:46:48.595489,2024-03-30T22:01:23.733217
25962,guy,Edward Grant,Darrell Jones,1708,yard,serious,2023-02-27T19:45:31.353975,2024-08-08T23:24:17.422483
26964,president,James Moore,Glenn Patterson,2729,five,fall,2024-02-21T08:31:00.145077,2024-06-03T07:07:24.754289
