user_id,gender,favorite_genres,created_at,updated_at
78518,Genderqueer,Jazz,2024-10-15T05:28:54.900634,2024-09-28T12:15:31.340165
62099,Non-binary,Blues,2023-08-11T16:54:30.638677,2024-10-08T08:54:32.992226
95040,Genderfluid,Folk,2024-07-11T07:43:04.163182,2024-09-13T16:44:43.674159
78418,Gender nonconforming,Alternative,2024-05-01T15:45:10.093940,2024-07-17T19:05:00.058764
53116,Female,Indie,2023-03-10T09:31:39.117143,2024-06-28T04:13:02.289440
82023,Non-binary,Hip Hop,2024-03-08T12:47:35.882683,2024-06-11T10:53:17.446000
95811,Bigender,Funk,2024-03-09T05:25:05.680269,2024-05-10T11:27:24.132173
56987,Non-binary,Folk,2023-07-05T20:06:41.500469,2024-09-18T06:34:25.081990
83317,Gender nonconforming,Electronic,2023-07-17T12:22:46.989146,2024-02-17T10:44:48.308271
78224,Non-binary,Hip Hop,2023-04-28T03:09:33.613195,2024-11-11T10:42:14.570413
44431,Agender,Classical,2024-10-02T19:27:31.642549,2024-12-24T05:45:16.439414
78749,Bigender,Electronic,2024-02-27T13:26:33.469891,2024-02-14T03:15:01.966429
82352,Gender nonconforming,Reggae,2023-05-25T16:56:52.536341,2024-08-12T00:17:08.244936
49016,Bigender,Blues,2023-11-26T22:35:26.961341,2025-01-02T16:43:52.958649
67255,Male,R&B,2024-08-11T15:43:06.203530,2025-01-24T03:39:14.965259
56884,Non-binary,Jazz,2023-06-08T16:13:14.771582,2024-07-13T08:22:22.948366
12582,Agender,Metal,2024-10-15T03:21:14.830799,2024-11-04T09:48:39.497319
65951,Female,Rock,2025-01-23T08:12:16.163079,2024-08-08T12:28:32.280944
16301,Agender,Electronic,2024-12-04T15:38:55.566055,2024-06-22T08:07:06.637105
18330,Gender questioning,Alternative,2024-11-23T07:46:18.509363,2024-11-07T08:20:41.156545
57489,Female,Punk,2024-08-30T12:22:03.645044,2024-02-13T01:57:40.737488
95931,Gender questioning,Punk,2023-06-27T12:21:40.443551,2024-06-15T23:38:03.583570
40613,Non-binary,Electronic,2023-03-12T15:15:13.724357,2024-10-14T03:43:10.981942
65150,Female,Funk,2023-04-09T03:37:00.281479,2024-07-22T10:20:33.824361
87505,Agender,Blues,2023-08-20T14:56:43.799615,2024-09-07T13:45:06.335967
8915,Male,Blues,2024-08-24T01:46:56.343249,2024-12-02T18:30:23.215320
19655,Male,Metal,2023-12-02T06:23:17.310167,2024-07-23T13:58:08.024549
15885,Genderqueer,Hip Hop,2024-02-25T03:26:48.471627,2024-10-26T09:47:04.494445
81579,Gender nonconforming,Punk,2024-02-10T19:51:36.263757,2024-02-09T22:01:39.200674
59344,Non-binary,Pop,2023-04-19T00:26:43.043322,2024-06-13T22:30:58.202596
9782,Agender,Funk,2024-04-12T23:27:47.378062,2024-09-16T15:05:27.659953
